LONG,LAT,C(km3),V2,RSR
-84.24240208,37.54229756,0.0005,0.654607289,0.060930859
39.155177,8.469422,1.9,0.908218077,0.52
-76.711105,39.622537,0.1111,1.051717275,0.0644
33.634375,13.546493,0.93,0.141544202,2.66
-81.840625,35.744272,0.3562,0.693016318,0.23
-99.869792,31.940807,0.0413,3.026242343,1.0161
-80.53379103,39.05620858,0.0004,0.650228596,0.778979529
-3.880208,41.335417,0.0145,0.431364424,0.4079
-1.86875,38.50625,0.0333,0.775675819,0.0338
31.277869,40.909579,0.055,0.461603082,0.51
-97.198025,31.57696,0.1881,0.716053102,0.705772475
1.295131,42.093695,0.1011,0.38452325,0.4
-88.777006,39.410509,1.2662,1.27009265,0.475
-104.953299,42.48023,0.5604,0.446194915,0.0659
20.002068,51.472669,0.0842,0.326793983,0.05
-118.92174,36.062301,0.1015,0.681544845,0.3571
-83.153466,35.196105,0.0828,1.087025764,0.0106
-95.357937,35.307952,4.7186,0.864339751,0.2432
-1.647532,38.341374,0.0358,0.541395275,0.31
-122.954278,43.78714,0.1616,0.485041019,0.0507
-83.653125,35.197248,0.1554,0.859268918,0.0358
-3.477083,38.164583,0.173,1.249805681,0.0159
20.669792,49.758891,0.17,0.280474554,0.4
-123.05623,43.714163,0.0617,0.508786799,0.0755
-95.568554,33.724654,0.034,0.772854165,0.397
-89.136989,37.646179,0.0423,1.584879514,0.1569
-95.764794,38.239796,0.7722,0.675844514,0.2362
-2.938821,41.052416,0.0314,1.000848467,0.0063
-82.889333,34.799787,1.1787,1.12842342,0.05
-84.278125,34.881121,0.2416,0.651831366,0.0322
-86.500231,37.61843,0.4125,0.926893896,0.1023
-117.9661057,34.24370939,0.0111,0.715260047,0.9122
-109.186819,44.500233,0.746,1.72497397,0.167
-112.762395,47.60042,0.1222,0.547626223,0.1268
-0.852083,10.869909,0.0173,0.970030681,0.3721
-77.263366,41.738505,0.0036,0.588153894,0.783111313
144.295395,-37.609191,0.024,0.979638227,0.2422
-79.439583,41.47183,0.222,0.532671918,0.025606013
-95.803563,35.019699,0.0199,0.849218034,0.2174
-118.0221518,34.17094112,0.001697268,0.138211014,2.595
-97.337077,30.690415,0.6921,1.887823026,0.354
-4.252123,39.369436,0.185,1.856533469,0.009
138.080653,35.812977,0.0348,0.335750876,1.44
-84.22825247,37.53811713,0.0008,0.759303413,0.0609
-5.598958,40.664436,0.56,1.028469057,0.07
-90.797731,43.690543,0.0029,0.7702467,0.210313128
-3.477083,38.164583,0.173,1.249805681,0.02
79.924831,22.941922,3.92,0.649585956,0.1
104.3883815,28.64501903,5.185,0.184097797,2.73
